"Time (s) Run #4","Temperature (°C) Run #4"
82.350,93.2
82.400,93.2
82.450,93.2
82.500,93.2
82.550,93.2
82.600,93.2
82.650,93.2
82.700,93.2
82.750,93.2
82.800,93.2
82.850,93.2
82.900,93.2
82.950,93.2
83.000,93.2
83.050,93.2
83.100,93.2
83.150,93.2
83.200,93.2
83.250,93.2
83.300,93.2
83.350,93.2
83.400,93.2
83.450,93.2
83.500,93.2
83.550,93.2
83.600,93.2
83.650,93.2
83.700,93.2
83.750,93.2
83.800,93.3
83.850,93.3
83.900,93.3
83.950,93.3
84.000,93.3
84.050,93.3
84.100,93.3
84.150,93.3
84.200,93.3
84.250,93.3
84.300,93.3
84.350,93.3
84.400,93.3
84.450,93.3
84.500,93.3
84.550,93.3
84.600,93.3
84.650,93.3
84.700,93.3
84.750,93.3
84.800,93.3
84.850,93.3
84.900,93.3
84.950,93.3
85.000,93.3
85.050,93.3
85.100,93.3
85.150,93.3
85.200,93.3
85.250,93.3
85.300,93.3
85.350,93.3
85.400,93.3
85.450,93.3
85.500,93.3
85.550,93.3
85.600,93.3
85.650,93.3
85.700,93.3
85.750,93.3
85.800,93.3
85.850,93.3
85.900,93.3
85.950,93.3
86.000,93.3
86.050,93.3
86.100,93.3
86.150,93.3
86.200,93.3
86.250,93.3
86.300,93.3
86.350,93.3
